reading frame: 26.074878 ms	encoding took: 5.564381 ms	streaming took: 0.085446 ms
reading frame: 30.405647 ms	encoding took: 5.355594 ms	streaming took: 0.083855 ms
reading frame: 26.597599 ms	encoding took: 5.844176 ms	streaming took: 0.103889 ms
reading frame: 29.779542 ms	encoding took: 5.356100 ms	streaming took: 0.084833 ms
reading frame: 26.748899 ms	encoding took: 5.404063 ms	streaming took: 0.090620 ms
reading frame: 31.055529 ms	encoding took: 5.575889 ms	streaming took: 0.106925 ms
reading frame: 25.570105 ms	encoding took: 5.378500 ms	streaming took: 0.088655 ms
reading frame: 30.495228 ms	encoding took: 5.499863 ms	streaming took: 0.120211 ms
reading frame: 26.348074 ms	encoding took: 5.357822 ms	streaming took: 0.119231 ms
reading frame: 30.345229 ms	encoding took: 5.749125 ms	streaming took: 0.104925 ms
reading frame: 26.208158 ms	encoding took: 5.489822 ms	streaming took: 0.110746 ms
reading frame: 26.352357 ms	encoding took: 5.407532 ms	streaming took: 0.107341 ms
reading frame: 30.628129 ms	encoding took: 5.559042 ms	streaming took: 0.105824 ms
reading frame: 26.019024 ms	encoding took: 5.622515 ms	streaming took: 0.133837 ms
reading frame: 30.132019 ms	encoding took: 5.664564 ms	streaming took: 0.098172 ms
reading frame: 26.090445 ms	encoding took: 5.715295 ms	streaming took: 0.119748 ms
reading frame: 30.323964 ms	encoding took: 5.671940 ms	streaming took: 0.107146 ms
reading frame: 26.127918 ms	encoding took: 5.624649 ms	streaming took: 0.113175 ms
reading frame: 30.225053 ms	encoding took: 5.557731 ms	streaming took: 0.093358 ms
reading frame: 26.277309 ms	encoding took: 8.713739 ms	streaming took: 0.112540 ms
reading frame: 27.177267 ms	encoding took: 5.546137 ms	streaming took: 0.098065 ms
reading frame: 26.366958 ms	encoding took: 5.621891 ms	streaming took: 0.097462 ms
reading frame: 30.145368 ms	encoding took: 5.409572 ms	streaming took: 0.089489 ms
reading frame: 26.522188 ms	encoding took: 5.485178 ms	streaming took: 0.094264 ms
reading frame: 30.429498 ms	encoding took: 5.422045 ms	streaming took: 0.085049 ms
reading frame: 26.268691 ms	encoding took: 5.456299 ms	streaming took: 0.096293 ms
reading frame: 30.338436 ms	encoding took: 5.298565 ms	streaming took: 0.091910 ms
reading frame: 26.787149 ms	encoding took: 5.364968 ms	streaming took: 0.095792 ms
reading frame: 30.378650 ms	encoding took: 5.249714 ms	streaming took: 0.097319 ms
reading frame: 26.722913 ms	encoding took: 5.466045 ms	streaming took: 0.095260 ms
reading frame: 30.093524 ms	encoding took: 5.722518 ms	streaming took: 0.116148 ms
reading frame: 26.179557 ms	encoding took: 5.466640 ms	streaming took: 0.098251 ms
reading frame: 30.468254 ms	encoding took: 5.511624 ms	streaming took: 0.117597 ms
reading frame: 26.555113 ms	encoding took: 5.650664 ms	streaming took: 0.121136 ms
reading frame: 30.033871 ms	encoding took: 5.787581 ms	streaming took: 0.136784 ms
reading frame: 25.880845 ms	encoding took: 5.586565 ms	streaming took: 0.102957 ms
reading frame: 30.587076 ms	encoding took: 6.416670 ms	streaming took: 0.130968 ms
reading frame: 25.685843 ms	encoding took: 6.214992 ms	streaming took: 0.118349 ms
reading frame: 30.699360 ms	encoding took: 16.780932 ms	streaming took: 11.634855 ms
reading frame: 7.033279 ms	encoding took: 8.821616 ms	streaming took: 12.392970 ms
reading frame: 10.368860 ms	encoding took: 9.340097 ms	streaming took: 25.354171 ms
reading frame: 2.114391 ms	encoding took: 8.642283 ms	streaming took: 7.123962 ms
reading frame: 15.418121 ms	encoding took: 8.746197 ms	streaming took: 11.992767 ms
reading frame: 10.936030 ms	encoding took: 10.006335 ms	streaming took: 6.020990 ms
reading frame: 19.921772 ms	encoding took: 5.558322 ms	streaming took: 0.100008 ms
reading frame: 26.741906 ms	encoding took: 9.237614 ms	streaming took: 0.252327 ms
reading frame: 25.305873 ms	encoding took: 5.891232 ms	streaming took: 0.129751 ms
reading frame: 26.195378 ms	encoding took: 5.836159 ms	streaming took: 0.122372 ms
reading frame: 29.789642 ms	encoding took: 5.471089 ms	streaming took: 0.099139 ms
reading frame: 26.619328 ms	encoding took: 5.726108 ms	streaming took: 0.090708 ms
reading frame: 29.939109 ms	encoding took: 5.499660 ms	streaming took: 0.081136 ms
reading frame: 26.533773 ms	encoding took: 5.616327 ms	streaming took: 0.088691 ms
reading frame: 30.026833 ms	encoding took: 5.459731 ms	streaming took: 0.085458 ms
reading frame: 26.704687 ms	encoding took: 5.805447 ms	streaming took: 0.082543 ms
